Timestamp,UniqID,소속,학년,성별,1. 블랙보드 시스템에 전반적으로 만족하십니까?,2. 학기중 블랙보드에는 얼마나 자주 접속하십니까?,3. 학기중 블랙보드를 가장 많이 활용한 시간대는 언제입니까?,4. 학기 중 블랙보드 사이트 접속이 신속하게 이루어집니까?,5. 어떤 브라우저를 사용하여 블랙보드를 주로 접속하십니까?,6. 블랙보드 메인 화면의 구성 및 디자인에 만족하십니까?,7. 블랙보드 강의실 내 메뉴는 직관적이라고 생각하십니까?,8. 블랙보드에서 제공되는 정보들은 잘 분류되어 있습니까?,"9. 블랙보드 내 글자 크기(메뉴 텍스트, 본문, 코스 정보 등)는 적정합니까?",10. 블랙보드 내에서 가장 선호하는 온라인수업(비대면) 운영 방식은 무엇입니까?,11. 귀하가 생각하는 가장 효과적인 블랙보드 내 학습활동은 무엇입니까?,12. 블랙보드 내 학습의 한계는 무엇이라고 생각하십니까?,13. 블랙보드 내 수강 환경의 한계는 무엇이라고 생각하십니까?,14. 블랙보드 영상 출석콘텐츠 수업 방식에 대해 전반적으로 만족합니까?,15. 블랙보드 영상 출석콘텐츠 수업 방식의 한계는 무엇이라고 생각하십니까? (복수응답 가능),"16. 실시간 화상강의(Zoom, Collaborate) 수업 방식에 대해 전반적으로 만족합니까?","17. 실시간 화상강의(Zoom, Collaborate)를 활용한 온라인수업의 한계는 무엇이라고 생각하십니까? (복수응답 가능)",18. 블랙보드 내에서 가장 선호하는 소통 방식을 선택하여 주십시오. ,19. 블랙보드 기능에 전반적으로 만족하십니까?,20. 블랙보드 기능은 전반적으로 사용하기 쉽습니까?,"21. 블랙보드 이용 시 오류를 겪었다면, 어떤 유형의 오류였는지 표기해주십시오. (복수응답 가능)",22. 블랙보드 홈페이지는 LMS를 사용하는데 필요한 정보를 손쉽게 찾고 관련 안내를 신속하게 전달할 수 있도록 구성되었습니다. 이 구성에 만족하십니까? ,23. 모바일 APP Blackboard는 웹에서 이용하는 주요 기능을 모바일 기기에서 이용 가능하도록 구성되었습니다. 모바일 APP 이용에 얼마나 만족하십니까?,24. 모바일 APP 이용 시 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"25. 코스 화면에서는 과거 코스, 현재 수강 중인 코스 목록을 손쉽게 파악할 수 있도록 구성되어 있습니다. 코스 화면 구성에 만족하십니까?",26. 코스 화면에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,27. 코스 홈 접속 후 좌측에 나타나는 코스 메뉴 구성에 만족하십니까?,28. 코스 메뉴 구성에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,29. 코스 메뉴 공지사항 기능에 만족하십니까?,30. 코스 메뉴 공지사항 기능 중 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"31. 영상 출결 콘텐츠(커먼즈, 유튜브, 구글 드라이브) 기능에 만족하십니까? ","32. 영상 출결 콘텐츠(커먼즈, 유튜브, 구글 드라이브) 기능 중 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.","33. 과제 제출 및 피드백 기능(턴잇인, SafeAssign)에 얼마나 만족하십니까?",34. 과제 제출 및 피드백 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"35. 그룹활동(토론, 블로그, 저널) 기능에 만족하십니까?","36. 그룹활동(토론, 블로그, 저널) 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.",37.  영상 출결 콘텐츠  출석 현황 기능에 만족하십니까?,38. 녹화영상 출석 현황에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,39. 시험/락다운브라우저 기능에 만족하십니까?,40. 시험/락다운브라우저 기능 중 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,"41. 실시간 강의 도구(ZOOM, Collaborate) 기능에 만족하십니까? ","42. 실시간 강의 도구(ZOOM, Collaborate) 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.",43. 성적 기능에 얼마나 만족하십니까?,44. 성적 기능에서 개선되었으면 하는 점을 자유롭게 작성하여 주십시오.,45. 학습관리시스템(LMS) 블랙보드와 관련하여 개선되었으면 하는 사항 및 기타 하고 싶으신 말씀에 대해 작성해주십시오.,46. 차세대 학습관리시스템(LMS)를 도입하는 것에 대해 어떻게 생각하십니까? ,47. 차세대 학습관리시스템(LMS)을 도입을 희망하지 않는 이유에 대해 작성하여 주십시오.,48. 차세대 학습관리시스템(LMS)을 도입을 희망하는 이유에 대해 작성하여 주십시오.,"49. 차세대 학습관리시스템(LMS)을 도입하게 된다면, 반드시 유지해야 하는 기능에 대해 작성하여 주십시오.","50. 차세대 학습관리시스템(LMS)을 도입하게 된다면, 새롭게 도입되길 희망하는 기능에 대해 작성하여 주십시오."
2022/10/24 10:37:33 AM GMT+9,L6634k3k,과학기술대학원 전자정보공학과,석사과정,남,4,하루에 한 번,오전 (6:00-12:00),3,엣지(Edge),5,4,4,5,실시간 화상강의(Zoom),과제,실시간 화상강의 수업의 질,네트워크 불안정으로 접속 끊김 현상,만족,재생 오류로 인한 끊김;상호작용 불가로 인한 질의응답 어려움;출석 반영 오류,불만족,접속 오류로 인한 수업 끊김;수업 내용 이해의 어려움,"수업용 화상강의 외 별도의 추가적인 화상강의(Zoom, Collaborate)",3,4,강의 동영상 재생;코스 화면 접속;출석 반영 오류,4,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,,차세대 학습관리시스템(LMS) 도입 희망,,,,
2022/10/24 10:38:18 AM GMT+9,G3513sny,공과대학 전기전자공학부,4학년,남,4,하루에 3회 이상,오후1 (12:00-15:00),4,크롬(Chrome),4,4,4,4,실시간 화상강의(Zoom),영상 출석콘텐츠 외 자료 제공,교수-학생·학생-학생 간 의사소통의 부족,네트워크 불안정으로 접속 끊김 현상,만족,출석 반영 오류,만족,접속 오류로 인한 수업 끊김,"수업용 화상강의 외 별도의 추가적인 화상강의(Zoom, Collaborate)",4,4,출석 반영 오류,4,2,알림 활성화,4,없습니다,4,없습니다,4,과거 공지사항도 계속 나왔으면 좋겠습니다,4,영상 출석 오류 개선,4,없습니다,4,없습니다,4,출석 오류 개선,4,없습니다,4,없습니다,4,평균 표시 기능,없습니다,상관없음,,,,
2022/10/24 10:39:17 AM GMT+9,U5078mpj,일반대학원 미디어학과 미디어학전공,박사과정,여,4,1주에 1회 정도,오전 (6:00-12:00),4,크롬(Chrome),4,4,4,5,실시간 화상강의(Zoom),영상 출석콘텐츠 외 자료 제공,교수-학생·학생-학생 간 의사소통의 부족,온라인수업 시 집중 저하,만족,음향이 작거나 울림,만족,음향이 작거나 울림,메시지,4,5,없음,4,3,수정 기능 사용의 한계,4,코스 순서 편집 가능하도록,4,전반적으로 만족,4,전반적으로 만족,4,전반적으로 만족,4,전반적으로 만족,4,전반적으로 만족,5,만족함,5,만족함,5,만족함,5,만족함,수정기능사용이 좀 더 원활해졌으면 함,현재 학습관리시스템(LMS) 블랙보드 유지,시스템 불안정 우려,,,
2022/10/24 10:39:56 AM GMT+9,Z4884ioz,일반대학원 경영학과 Business Analytics전공,석사과정,여,4,1주에 3회 정도,오후2 (15:00-18:00),4,크롬(Chrome),3,4,5,5,녹화영상(영상 출석콘텐츠),퀴즈/시험,없음,안정적인 수업 수강 장소 부재,만족,없음,만족,접속 오류로 인한 수업 끊김,없음,5,5,"실시간 화상강의(Zoom, Collaborate) 참여",4,3,앱을 이용해본 적이 없다.,2,코스 순서를 자유롭게 배열 혹은 정렬 후 저장할 수 있었으면 좋겠다.,5,,5,,5,,5,,5,,5,,4,,4,콜라보레이트는 모바일 웹으로도 들어갈 수 있는데 줌은 줌 어플이 있어야만 해서 귀찮다. 모두 콜라보레이트만 사용하도록 할 수는 없는지?,5,,,상관없음,,,,
2022/10/24 10:40:23 AM GMT+9,V6179fxa,마이크로/나노 시스템 협동과정 석사과정,석사과정,남,2,1주에 1회 정도,저녁 (18:00-24:00),3,크롬(Chrome),2,2,2,2,실시간 화상강의(Zoom),퀴즈/시험,내용 이해를 돕는 학습 활동의 부족,블랙보드 기능 사용의 어려움,보통,수업 내용 이해 어려움;영상 분량이 부족하거나 많음,만족,수업 내용 이해의 어려움;출석 반영 오류,과제·퀴즈 피드백,2,2,코스 화면 접속;출석 반영 오류,2,3,,3,코스화면이 너무 커서 한눈에보기 힘듬 메일사이트 정도에 규격으로 나왔으면 좋겠음,3,,3,,3,,3,,3,,3,,3,,3,,3,,,차세대 학습관리시스템(LMS) 도입 희망,,,,
2022/10/24 10:40:29 AM GMT+9,M8938b1a,기술경영대학원 기술경영학과,석사과정,남,4,1주에 3회 정도,오후2 (15:00-18:00),5,크롬(Chrome),4,3,3,4,실시간 화상강의(Zoom),과제,없음,온라인수업 시 집중 저하,매우 만족,음향이 작거나 울림,만족,수업 내용 이해의 어려움,과제·퀴즈 피드백,4,4,강의 동영상 재생;SSO 통합 로그인,3,2,강의파일 다운로드가 가능하도록 기능 추가,2,특정 학기만 필터링된 리스트만 볼수 있으면 좋겠음,4,"업로드 된 강의자료 수정 시, 리뉴얼여부를 파악할 수 있으면 좋겠음",4,,4,,4,화면 간소화,3,,3,가끔 잘 안되서 강의를 다시 틀어둔 적이 있음,3,,4,,4,,,현재 학습관리시스템(LMS) 블랙보드 유지,새 시스템 도입에 따른 효익이 불확실하고 새로 적응하기가 불편함,,,
2022/10/24 10:47:11 AM GMT+9,G6608jgz,정보보호대학원 금융보안학과 블록체인전공,석사과정,남,4,하루에 3회 이상,오후1 (12:00-15:00),5,엣지(Edge),4,3,4,4,녹화영상(영상 출석콘텐츠),영상 출석콘텐츠 외 자료 제공,내용 이해를 돕는 학습 활동의 부족,안정적인 수업 수강 장소 부재,만족,없음,보통,영상 화질이 선명하지 않음,블로그·위키 피드백,3,3,없음,3,3,,3,"갤러리 형태로 표시된다면 의미없는 배경보다 과목명이 표시된, 혹은 과목과 연관된 직관적인 그림이었으면 좋겠습니다.",4,,4,,4,,3,,2,글 작성할 때 에디터가 너무 구식이고 느려서 잘 이용하게 되지 않습니다.,3,,3,,4,,3,,활동스트림에서 '추가됨: OOO 강의영상' 을 클릭하면 pdf파일처럼 미리보기가 뜨는 것이 아니라 한번 더 강의영상이라는 하이퍼링크를 눌러야되는 것이 불편합니다.,차세대 학습관리시스템(LMS) 도입 희망,,블랙보드가 국내에 특화되어 있지 않은 LMS인 것 같아 사용이 다소 불편합니다.,활동스트림과 같이 실시간으로 교과목별 업데이트된 내용을 한 눈에 확인할 수 있는 기능 ,사용이 편리한 에디터가 포함된 토론장 기능
2022/10/24 10:47:52 AM GMT+9,R6572chw,공과대학 전기전자공학부,2학년,남,4,하루에 한 번,저녁 (18:00-24:00),5,크롬(Chrome),4,5,5,5,실시간 화상강의(Zoom),과제,시험의 공정성,네트워크 불안정으로 접속 끊김 현상,만족,수업 내용 이해 어려움;영상 분량이 부족하거나 많음;상호작용 불가로 인한 질의응답 어려움,만족,접속 오류로 인한 수업 끊김,과제·퀴즈 피드백,5,4,"실시간 화상강의(Zoom, Collaborate) 참여;시험 응시 및 접속",4,2,ui가 블랙보드 웹페이지와 비슷하게 만들어졌으면 좋겠습니다.,4,현재도 이용에 불편이 없습니다.,5,과제제출란을 공지사항 밑에 배치했으면 좋겠습니다.,5,,3,유튜브 영상으로 출석체크를 할때 바로 반영이 안되고 길게는 하루 후에 반영이 되는 점이 불편합니다.,5,,5,,3,모두 수강하였는데 100%로 나오지 않는 경우가 종종 있습니다.,5,락다운 브라우저가 갑자기 다운되는 현상이 발생합니다. 또한 삭제 후 재설치가 아닌 자동업데이트가 되면 거 좋을 것 같습니다.,4,콜라보레이트가 종종 갑자기 나가집니다.,5,성적에 따른 성적 색을 명확히 명시하면 이해하기 쉬울 것 같습니다.,,현재 학습관리시스템(LMS) 블랙보드 유지,교우와 예비대학생에게는 도움이 될 것 같은데 일반인에게까지 공개하는건 범위가 너무 넓은 것 같습니다.,,,
2022/10/24 10:48:59 AM GMT+9,M8689nax,국제대학원 국제통상 전공,석사과정,여,3,하루에 3회 이상,오후1 (12:00-15:00),3,크롬(Chrome),3,4,3,3,녹화영상(영상 출석콘텐츠),과제,시험의 공정성,온라인수업 시 집중 저하,만족,영상 분량이 부족하거나 많음;상호작용 불가로 인한 질의응답 어려움,만족,수업 내용 이해의 어려움,과제·퀴즈 피드백,4,4,"실시간 화상강의(Zoom, Collaborate) 참여",3,3,,4,,3,,3,,4,,4,,3,,4,,4,,3,,4,,,차세대 학습관리시스템(LMS) 도입 희망,,더 좋은 서비스를 누릴 수 있기 때문에,,
2022/10/24 10:50:33 AM GMT+9,H7036iim,심리학부 심리학과,4학년,여,3,1주에 3회 정도,오후2 (15:00-18:00),4,크롬(Chrome),3,3,4,4,온라인수업(비대면)을 선호하지 않음,영상 출석콘텐츠 외 자료 제공,시험의 공정성,안정적인 수업 수강 장소 부재,보통,재생 오류로 인한 끊김;영상 분량이 부족하거나 많음;상호작용 불가로 인한 질의응답 어려움,만족,접속 오류로 인한 수업 끊김,없음,4,4,없음,4,3,,2,,4,,4,,3,,4,,1,,3,,3,,4,,4,,,차세대 학습관리시스템(LMS) 도입 희망,,,,
2022/10/24 10:51:15 AM GMT+9,B4911ohq,일반대학원 건축사회환경공학부 에너지전공,박사과정,여,1,1주에 3회 정도,오후2 (15:00-18:00),2,크롬(Chrome),1,1,1,2,실시간 화상강의(Zoom),영상 출석콘텐츠 외 자료 제공,교수-학생·학생-학생 간 의사소통의 부족,블랙보드 기능 사용의 어려움,매우 불만족,음향이 작거나 울림;상호작용 불가로 인한 질의응답 어려움,보통,영상 화질이 선명하지 않음,과제·퀴즈 피드백,1,1,과제 업로드,1,1,직관적인 인터페이스,1,"직관적으로 과목을 선택할 수 있게 변경, 눌러야할게 너무 많음",1,없음,1,공지사항 확인 쉽게,1,없음,1,없움,1,없음,1,없음,1,없움,3,없음,3,없음,없음,차세대 학습관리시스템(LMS) 도입 희망,,새롭게 개선 필요함,자료 업로드,없음
2022/10/24 10:55:38 AM GMT+9,I8757erd,고려대학교 교육대학원 영어교육전공,석사과정,여,4,1주에 3회 정도,저녁 (18:00-24:00),4,기타,3,4,4,4,녹화영상(영상 출석콘텐츠),토론,교수-학생·학생-학생 간 의사소통의 부족,온라인수업 시 집중 저하,만족,음향이 작거나 울림;출석 반영 오류,만족,접속 오류로 인한 수업 끊김,토론방,4,4,과제 업로드,4,4,,3,해당 학기 코스만 먼저 떴으면 좋겠습니다.,4,,4,,4,,3,,4,,4,배속으로 들어도 가능했으면좋겠습니다.,3,,4,,4,,,차세대 학습관리시스템(LMS) 도입 희망,, 교내의 우수한 콘텐츠를 다양한 사람들이 접근하여 본교 교육을 경험할 수 있는 플랫폼의 필요성에 동의함.,,
